90001;3
90002;2
90003;5
90004;9
90005;3
90006;5
90007;2
90008;0
90009;1
90010;0
90011;8
90012;1
90013;4
90014;4
90015;2
90016;5
90017;1
90018;1
90019;5
90020;5
90021;9
90022;4
90023;1
90024;8
90025;7
90026;9
90027;0
90028;4
90029;2
90030;1
90031;7
90032;9
90033;3
90034;3
90035;4
90036;4
90037;5
90038;9
90039;2
90040;9
90041;3
90042;4
90043;2
90044;4
90045;7
90046;5
90047;6
90048;9
90049;2
90050;5
90051;9
90052;1
90053;3
90054;0
90055;6
90056;4
90057;3
90058;7
90059;2
90060;7
90061;1
90062;7
90063;5
90064;7
90065;4
90066;1
90067;5
90068;3
90069;9
90070;4
90071;0
90072;4
90073;2
90074;7
90075;7
90076;7
90077;4
90078;4
90079;4
90080;1
90081;8
90082;5
90083;7
90084;4
90085;2
90086;7
90087;3
90088;9
90089;2
90090;1
90091;7
90092;2
90093;9
90094;1
90095;8
90096;0
90097;4
90098;2
90099;4
90100;8
90101;2
90102;8
90103;2
90104;0
90105;4
90106;1
90107;1
90108;4
90109;4
90110;7
90111;2
90112;7
90113;4
90114;1
90115;7
90116;9
90117;1
90118;4
90119;3
90120;7
90121;1
90122;0
90123;6
90124;1
90125;2
90126;5
90127;1
90128;4
90129;1
90130;1
90131;3
90132;9
90133;5
90134;4
90135;6
90136;6
90137;2
90138;4
90139;4
90140;1
90141;2
90142;2
90143;9
90144;7
90145;0
90146;9
90147;4
90148;8
90149;3
90150;4
90151;4
90152;9
90153;4
90154;0
90155;7
90156;8
90157;4
90158;4
90159;4
90160;7
90161;1
90162;9
90163;0
90164;0
90165;4
90166;3
90167;0
90168;4
90169;1
90170;3
90171;5
90172;1
90173;2
90174;9
90175;7
90176;3
90177;1
90178;2
90179;0
90180;3
90181;2
90182;8
90183;1
90184;7
90185;4
90186;9
90187;7
90188;5
90189;4
90190;4
90191;4
90192;3
90193;4
90194;0
90195;0
90196;5
90197;3
90198;4
90199;1
90200;1
90201;8
90202;5
90203;2
90204;0
90205;6
90206;0
90207;0
90208;0
90209;6
90210;5
90211;4
90212;9
90213;9
90214;1
90215;7
90216;4
90217;3
90218;2
90219;8
90220;2
90221;4
90222;6
90223;6
90224;4
90225;9
90226;3
90227;0
90228;9
90229;1
90230;5
90231;9
90232;2
90233;1
90234;0
90235;3
90236;1
90237;5
90238;1
90239;1
90240;0
90241;1
90242;3
90243;5
90244;7
90245;4
90246;8
90247;9
90248;3
90249;1
90250;0
90251;0
90252;1
90253;5
90254;4
90255;3
90256;0
90257;1
90258;1
90259;3
90260;1
90261;1
90262;2
90263;0
90264;7
90265;4
90266;1
90267;8
90268;4
90269;4
90270;4
90271;0
90272;8
90273;3
90274;4
90275;3
90276;4
90277;1
90278;1
90279;0
90280;6
90281;7
90282;5
90283;2
90284;1
90285;1
90286;4
90287;6
90288;3
90289;6
90290;6
90291;6
90292;6
90293;0
90294;6
90295;7
90296;7
90297;2
90298;2
90299;1
90300;5
90301;9
90302;1
90303;7
90304;8
90305;4
90306;2
90307;8
90308;4
90309;8
90310;9
90311;1
90312;2
90313;4
90314;5
90315;6
90316;4
90317;7
90318;5
90319;1
90320;2
90321;9
90322;9
90323;3
90324;0
90325;4
90326;9
90327;2
90328;9
90329;4
90330;4
90331;3
90332;1
90333;5
90334;1
90335;2
90336;2
90337;5
90338;6
90339;3
90340;4
90341;1
90342;2
90343;5
90344;7
90345;9
90346;2
90347;2
90348;7
90349;6
90350;2
90351;2
90352;2
90353;7
90354;0
90355;1
90356;9
90357;7
90358;0
90359;8
90360;2
90361;7
90362;9
90363;9
90364;9
90365;8
90366;4
90367;8
90368;7
90369;2
90370;4
90371;7
90372;3
90373;7
90374;9
90375;4
90376;5
90377;3
90378;8
90379;9
90380;2
90381;0
90382;1
90383;5
90384;0
90385;0
90386;9
90387;0
90388;6
90389;1
90390;1
90391;5
90392;2
90393;2
90394;3
90395;4
90396;4
90397;0
90398;6
90399;0
90400;7
90401;0
90402;8
90403;9
90404;7
90405;5
90406;2
90407;8
90408;4
90409;0
90410;2
90411;5
90412;3
90413;2
90414;5
90415;1
90416;4
90417;6
90418;6
90419;0
90420;2
90421;7
90422;4
90423;1
90424;1
90425;0
90426;7
90427;8
90428;0
90429;7
90430;0
90431;2
90432;7
90433;1
90434;1
90435;7
90436;0
90437;2
90438;4
90439;5
90440;5
90441;2
90442;4
90443;6
90444;2
90445;4
90446;0
90447;7
90448;2
90449;3
90450;4
90451;9
90452;4
90453;3
90454;1
90455;4
90456;0
90457;7
90458;9
90459;3
90460;8
90461;7
90462;7
90463;7
90464;2
90465;7
90466;6
90467;1
90468;4
90469;4
90470;5
90471;1
90472;5
90473;8
90474;8
90475;5
90476;3
90477;7
90478;0
90479;5
90480;1
90481;0
90482;7
90483;4
90484;7
90485;7
90486;0
90487;0
90488;0
90489;4
90490;9
90491;1
90492;9
90493;8
90494;0
90495;3
90496;4
90497;8
90498;7
90499;8
90500;4
90501;7
90502;9
90503;4
90504;2
90505;1
90506;0
90507;5
90508;4
90509;8
90510;3
90511;7
90512;5
90513;1
90514;9
90515;4
90516;7
90517;1
90518;1
90519;4
90520;9
90521;0
90522;4
90523;4
90524;2
90525;3
90526;0
90527;5
90528;9
90529;1
90530;5
90531;2
90532;2
90533;3
90534;5
90535;9
90536;4
90537;4
90538;4
90539;1
90540;3
90541;8
90542;4
90543;9
90544;0
90545;7
90546;7
90547;7
90548;9
90549;4
90550;6
90551;8
90552;0
90553;7
90554;6
90555;9
90556;2
90557;4
90558;4
90559;0
